Species,Elevation,Body_length,Proboscis_length,Head_diameter,Body_diameter,Weight_dry,Pollen_head,Pollen_thorax,Pollen_legs,Pollen_abdomen
Braconidae_sp.,2283,2.25,NA,0.57,NA,NA,0,0.5,0,0
Braconidae_sp.,2379,2.575,NA,0.575,NA,NA,1,2,1.5,0.5
Braconidae_sp.,2587,2.29,NA,0.52,NA,NA,0,0,0,0
Bradysia_alpicola,1463,2.6,NA,0.45,NA,NA,0,0,1,0.5
Bradysia_flavipila,1860,1.67,NA,0.35,NA,NA,0,0,1,1
Bradysia_pauperata,2587,2.53,0.21,0.46,NA,NA,0,3,2,2
Bradysia_polonica,1463,1.16,NA,0.22,NA,NA,0,1,1,0
Bradysia_praecox,1181,2.033333333,NA,0.373333333,NA,NA,0.333333333,0.333333333,0.333333333,0
Bradysia_praecox,1860,2.53,NA,0.4,NA,NA,0,1,2,1
Bradysia_praecox,2379,2.26,NA,0.36,NA,NA,0,0,0,1
Bradysia_sp.,1181,2.202142857,NA,0.368571429,NA,NA,0.448275862,0.724137931,1,1.137931034
Bradysia_sp.,1463,2.587333333,0.245,0.408,NA,NA,0.6,1.533333333,1.533333333,1.466666667
Bradysia_sp.,1632,1.696666667,NA,0.43,NA,NA,0,0.333333333,0.333333333,0.666666667
Bradysia_sp.,1860,2.496363636,NA,0.365,NA,NA,0,0.363636364,0.545454545,0.181818182
Bradysia_sp.,2080,2.074444444,0.095,0.39,NA,NA,0.333333333,0.666666667,0.333333333,0.333333333
Bradysia_sp.,2283,2.370769231,NA,0.368461538,NA,NA,0.615384615,1.461538462,1.230769231,1.461538462
Bradysia_sp.,2379,2.749,NA,0.429,NA,NA,0.9,2.1,1.7,2.2
Bradysia_sp.,2587,1.95,0.165,0.365,NA,NA,0,1,0.5,0.5
Bradysia_subscabricornis,2283,1.67,NA,0.37,NA,NA,0,1,0,0
Bradysia_zetterstedti,1860,2.5,NA,0.5,NA,NA,1,1,0,0
Bruchidae_sp.,1463,2.722,NA,0.766,1.42,NA,0.6,0.6,1,0.8
Buprestidae_sp.,1632,4.47,NA,1.24,1.68,NA,1,1,2,0
Calliphoridae_sp.,1181,8.037368421,1.990526316,2.812631579,NA,NA,1.368421053,2.210526316,2.368421053,1.736842105
Calliphoridae_sp.,1463,8.283,1.791,2.639,NA,NA,1.7,3.1,3,2.8
Calliphoridae_sp.,1632,7.92,2.26,2.91,NA,NA,2,3,3,3
Calliphoridae_sp.,2080,9.205,2.005,3.16,NA,NA,1,3,2,2
Calliphoridae_sp.,2283,7.183333333,1.85,2.116666667,NA,NA,1,3,2.666666667,3
Camillidae_sp.,2080,2.77,NA,0.77,NA,NA,1,0,0,0
Camptochaeta_austriaca,2283,1.56,NA,0.38,NA,NA,0,0,0,0
Cantharidae_sp.,1181,7.83,1.55,1.673333333,2.32,NA,1,2,2,3
Cantharidae_sp.,1463,9.74,NA,1.596666667,2.026666667,NA,0.333333333,0.666666667,2,1
Cantharidae_sp.,1632,10.91,NA,2.18,2.64,NA,1,0,1,1
Carabidae_sp.,2080,12.69,NA,2.32,3.98,NA,0,0,1,1
Carnidae_sp.,1181,1.0875,NA,0.3875,NA,NA,0,0.25,0,0
Carnidae_sp.,1860,1.87,NA,0.7,NA,NA,0,0,1,0
Catoptria_petrificella_or_combinella,1860,10.61,6.22,1.17,NA,NA,0,0,0,0
Catoptria_petrificella_or_combinella,2080,10.11,4.86,1.22,NA,NA,0,0,0,0
Cauchas_fibulella,1463,2.81,0.87,0.83,NA,NA,1,0,1,0
Cecidomyiidae_sp.,1181,0.72,NA,0.22,NA,NA,0,0,0,0
Cecidomyiidae_sp.,1860,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA
Cecidomyiidae_sp.,2080,1.305,NA,0.305,NA,NA,0,1,0.5,0.5
Cecidomyiidae_sp.,2283,1.64,NA,0.265,NA,NA,0,0,0,0
