Species,Elevation,Body_length,Proboscis_length,Head_diameter,Body_diameter,Weight_dry,Pollen_head,Pollen_thorax,Pollen_legs,Pollen_abdomen
Scaeva_sp.,1181,13.395,2.325,4.115,NA,NA,1,3,2.5,1.5
Scaeva_sp.,1632,14.71,2.68,4.29,NA,NA,NA,NA,NA,NA
Scaeva_sp.,1860,16,2.2,4.1,NA,NA,2,2,2,2
Scaeva_sp.,2283,15.02,2.37,4.255,NA,NA,2,3,3.5,3
Scaeva_sp.,2379,14.15,1.915,4.285,NA,NA,2.5,3,3,3
Scarabaeidae_sp.,1181,10.7775,NA,2.745,4.52,NA,0,0.25,0.25,0.5
Scarabaeidae_sp.,1463,7.85,NA,2.37,3.4,NA,0,0,1,2
Scarabaeidae_sp.,2587,5.75,NA,1.42,2.41,NA,0,0,0,0
Scathophaga_stercoraria,2283,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA
Scathophagidae_sp.,1181,4.152,1.326,1.344,NA,NA,0.8,1,1.4,0.6
Scathophagidae_sp.,1463,3.535,NA,1.005,NA,NA,0,1,0.5,0.5
Scathophagidae_sp.,1632,8.03,1.34,2.11,NA,NA,1,2,1,1
Scathophagidae_sp.,1860,5.494,0.9525,1.674,NA,NA,0.4,0.6,1.2,0.8
Scathophagidae_sp.,2080,6.26,1.25,1.63,NA,NA,1,3,3,2
Scathophagidae_sp.,2283,5.925,0.967,1.438,NA,NA,0.6,1.7,2.2,1.4
Scathophagidae_sp.,2379,3.38,0.75,0.9775,NA,NA,0.5,0.75,1.5,0.75
Scathophagidae_sp.,2587,3.7,0.53,1.07,NA,NA,0,1,1,1
Scatopsidae_sp.,1181,1.6675,NA,0.235,NA,NA,0,0.25,0.25,0.25
Scatopsidae_sp.,1463,2.225,NA,0.375,NA,NA,0.5,0.25,0.75,0.25
Scatopsidae_sp.,2283,1.867619048,NA,0.244285714,NA,NA,0.19047619,0.238095238,0.571428571,0.285714286
Scelionidae_sp.,1463,1.47,NA,0.48,NA,NA,0,1,1,1
Sciara_flavimana,1181,2.78,NA,0.59,NA,NA,0,1,0,0
Sciara_hemerobioides,1463,4.56,0.305,0.633333333,NA,NA,1,2,2.333333333,2.666666667
Sciara_sp.,1463,5.05,NA,0.67,NA,NA,2,3,3,3
Sciaridae_sp.,1181,1.82,NA,0.545,NA,NA,0,0.5,0.5,0
Sciaridae_sp.,1463,2.27,NA,0.52,NA,NA,0,1,1,0
Sciaridae_sp.,1860,1.75,NA,0.25,NA,NA,0,0,0,0
Sciaridae_sp.,2080,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA
Sciaridae_sp.,2283,2.205,NA,0.36,NA,NA,0.333333333,0.666666667,0.666666667,0
Sciaridae_sp.,2379,2.39,NA,0.4,NA,NA,1,3,2,1
Scythris_sp.,2283,5.91,3.025,0.905,NA,NA,0.5,0,0,0
Scythris_sp.,2379,5.372,3.564,0.936,NA,NA,0.6,0.1,0.3,0.2
Scythris_sp.,2587,6.32,3.08,0.95,NA,NA,0,0,0,0
Sepsidae_sp.,1860,3,0.45,0.79483871,NA,NA,0.133333333,0.633333333,0.366666667,0.166666667
Sepsidae_sp.,2283,3.845,0.51,0.975,NA,NA,1,1.5,1,0.5
Sepsis_cynipsea,1181,2.731,NA,0.779,NA,NA,0.5,0.3,0.3,0.5
Sepsis_cynipsea,1463,2.90804878,NA,0.768292683,NA,NA,0.05,0.4,0.4,0.175
Sepsis_cynipsea,1632,2.596666667,NA,0.736666667,NA,NA,0,0.333333333,0,0
Sepsis_cynipsea,1860,3.2575,0.625,0.835,NA,NA,0,1.25,0.25,0
Sepsis_flavimana,1463,3.02,NA,0.88,NA,NA,0,1,0,0
Sepsis_neocynipsea,1181,2.75,NA,0.75,NA,NA,0.8,0.4,0.2,0.2
Sepsis_neocynipsea,1463,3.055,NA,0.794,NA,NA,0.1,0.6,0.5,0.1
Sepsis_neocynipsea,1632,2.836666667,NA,0.743333333,NA,NA,0.333333333,0.333333333,0,0
Sepsis_neocynipsea,1860,3.279090909,0.39,0.810909091,NA,NA,0.1,0.2,0.2,0.1
Sepsis_neocynipsea,2283,3.41,NA,0.85,NA,NA,0.5,1,0.5,0
Sepsis_neocynipsea,2379,2.97,NA,0.64,NA,NA,1,2,2,1
Sepsis_neocynipsea,2587,3.26,NA,0.98,NA,NA,0,1,1,0
Siphona_sp.,1181,3.22,2.05,1.07,NA,NA,1,1,1,2
Siphona_sp.,1632,5.2,4.16,1.54,NA,NA,2,2,2,1
Sminthuridae_sp.,2080,1.08,NA,0.435,NA,NA,0,0,0,0.5
Sminthuridae_sp.,2283,0.72,NA,0.24,NA,NA,0,0,0,0
Sphaeroceridae_sp.,1181,1.18,NA,0.33,NA,NA,1,0,0,1
Sphaerophoria_scripta,1181,11.12,1.29,2.49,NA,NA,1,2,2,1
Sphaerophoria_scripta,1632,7.29,1.76,1.96,NA,NA,1,3,3,2
Staphylinidae_sp.,1632,1.46,NA,0.39,0.54,NA,0,0,1,0
Staphylinidae_sp.,2080,4.94,NA,0.77,1.2,NA,0,0,0,1
Staphylinidae_sp.,2283,1.863636364,NA,0.51,0.647272727,NA,0.454545455,0.181818182,1.090909091,0.636363636
Staphylinidae_sp.,2379,1.88,NA,0.52,0.64,NA,0,0,1,0
Staphylinidae_sp.,2587,5.48,NA,1.01,1.28,NA,0,0,2,0
Stratiomyidae_sp.,1181,8.66,0.74,2.21,NA,NA,1,2,2,2
Stratiomyidae_sp.,1860,5.67,0.34,1.39,NA,NA,0,1,1,0
Syrphidae_sp.,1181,7.168333333,1.21049505,2.037777778,NA,NA,1.03030303,2.212121212,2.323232323,1.444444444
Syrphidae_sp.,1463,7.529795918,1.305555556,2.164693878,NA,NA,0.897959184,2.673469388,2.551020408,1.693877551
Syrphidae_sp.,1632,7.259782609,1.35047619,2.069782609,NA,NA,0.837837838,2.054054054,2.081081081,1.135135135
Syrphidae_sp.,1860,7.672222222,1.227777778,2.212222222,NA,NA,0.888888889,2.074074074,1.962962963,1.296296296
Syrphidae_sp.,2080,7.000294118,1.285151515,2.147058824,NA,NA,1.088235294,2.588235294,2.323529412,1.882352941
Syrphidae_sp.,2283,7.5,1.245,2.1,NA,NA,2,3,3,2.5
Syrphidae_sp.,2379,6.71,1.270714286,1.922142857,NA,NA,1.071428571,2.357142857,2.142857143,1.285714286
Syrphidae_sp.,2587,7.713333333,1.34,2.153333333,NA,NA,0.333333333,1,1.333333333,0.666666667
Syrphus_admirandus,1181,12.38,2.37,3.75,NA,NA,1,3,2,1
Syrphus_admirandus,1463,12.94,1.69,3.94,NA,NA,2,3,3,2
Syrphus_admirandus,2283,9.46,1.43,2.86,NA,NA,2,4,3,3
Syrphus_auberti,1181,8.37,1.71,2.68,NA,NA,1,3,2,1
Syrphus_sp.,1181,9.36,2.17,2.9,NA,NA,1,3,2,1
Syrphus_sp.,1632,10.99,2.02,3.6,NA,NA,1,3,3,3
Syrphus_sp.,2283,10.76625,1.55625,3.3575,NA,NA,1.75,3.375,2.875,2.625
Syrphus_torvus,2283,12.01,1.863333333,3.81,NA,NA,2,3,2.666666667,2.333333333
Syrphus_vitripennis,1181,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA
Tachinidae_sp.,1181,9.0625,5.7475,2.755,NA,NA,1.25,1.5,2.25,0.75
Tachinidae_sp.,1632,5.15,3.33,1.52,NA,NA,0,1,1,1
Tenthredinidae_sp.,1181,8.54625,NA,2.423333333,NA,NA,1.666666667,2.555555556,2.666666667,1.111111111
Tenthredinidae_sp.,1463,9.558333333,NA,2.488333333,NA,0.82,2.333333333,2.833333333,2.833333333,2.166666667
Tenthredinidae_sp.,1632,9.858421053,NA,2.595789474,NA,NA,2,2.733333333,2.8,1.733333333
Tenthredinidae_sp.,1860,9.465,NA,2.446,NA,NA,1.3,2.3,2.7,1.7
Tenthredinidae_sp.,2080,7.13,NA,1.69,NA,NA,0,1,1,0
Tenthredinidae_sp.,2283,7.4875,NA,2.0175,NA,NA,1.75,2.5,2.25,2
Tenthredinidae_sp.,2379,5.999230769,NA,1.543846154,NA,NA,2,2.615384615,2.461538462,1.846153846
Tetragnathidae_sp.,2587,2.32,NA,0.85,NA,NA,1,0,0,1
Themira_annulipes,1181,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA
Themira_annulipes,1632,3.3,NA,0.68,NA,NA,1,0,0,0
Themira_lucida,2080,2.56,NA,0.72,NA,NA,0,1,0,0
Themira_minor,1463,2.26,NA,0.61,NA,NA,0,2,1,1
Themira_minor,1632,2.68,NA,0.78,NA,NA,0,1,1,0
Themira_minor,1860,2.266666667,NA,0.723333333,NA,NA,0,0,1,0.333333333
Themira_minor,2283,3.187142857,NA,0.977142857,NA,NA,0.285714286,0.714285714,0.428571429,0
Themira_superba,1181,1.743333333,NA,0.566666667,NA,NA,0,0,0,0
Themira_superba,1463,2.94,0.5,0.855,NA,NA,0.5,0,1,0
Themira_superba,2283,2.76,NA,0.65,NA,NA,1,0,1,0
Therevidae_sp.,2283,9.46,0.76,2.23,NA,NA,0,1,3,1
Therevidae_sp.,2587,4.953333333,0.586666667,1.62,NA,NA,0.333333333,1.333333333,1.333333333,0.666666667
Thomisidae_sp.,1181,4.826666667,NA,1.63,2.362,NA,0,0,0.5,0
Thricops_aculeipes,1860,7.596666667,1.386666667,1.89,NA,NA,1.333333333,2.666666667,3,2
Thricops_aculeipes,2283,8.43,1.52,1.84,NA,NA,0,3,2,2
Thricops_culminum,1860,8.5,1.62,1.96,NA,NA,1,2,3,1
Thricops_culminum,2283,8.24,1.66,1.77,NA,NA,3,3,3,3
Thricops_cunctans,1463,5.26,0.99,1.31,NA,NA,2,3,3,1
Thricops_furcatus,1632,5.16,0.77,1.29,NA,NA,1,3,3,2
Thricops_longipes,1181,7.71,1.35,2.21,NA,NA,NA,NA,NA,NA
Thricops_longipes,1860,3.98,0.616666667,1.1325,NA,NA,0.25,1,1,0.5
Thricops_longipes,2283,3.98,0.77,1.18,NA,NA,1,2,2,1
Thricops_nigritellus,1860,4.37,NA,1.13,NA,NA,1,3,3,1
Thricops_sp.,1181,5.038,0.977,1.451,NA,8.37,0.4,1.6,1.8,0.8
Thricops_sp.,1463,5.128571429,0.967142857,1.342142857,NA,1.31,0.6,1.6,1.733333333,1.066666667
Thricops_sp.,1632,4.684545455,0.898,1.192727273,NA,1.445,0.769230769,2.461538462,1.846153846,1
Thricops_sp.,1860,5.127704918,0.795081967,1.214262295,NA,1.75,0.640625,1.859375,2.171875,0.9375
Thricops_sp.,2080,4.865,0.923333333,1.273333333,NA,1.726666667,0.5,2.083333333,2.083333333,1
Thricops_sp.,2283,4.597368421,0.760555556,1.073157895,NA,1.64,0.421052632,1.368421053,1,0.631578947
Thricops_sp.,2379,5.619,1.09,1.433,NA,NA,0.9,1.7,1.6,0.7
Thricops_sp.,2587,6.293333333,1.280833333,1.568333333,NA,3.04,0.5,2,1.833333333,1
Thripidae_sp.,1181,0.91,NA,0.3,NA,NA,0,0,0,0
Thripidae_sp.,2080,1.159473684,NA,0.202631579,NA,NA,0,0.052631579,0.105263158,0.368421053
Thripidae_sp.,2283,0.855,NA,0.165,NA,NA,0,0,0,0
Tipulidae_sp.,1463,13.29,0.715,1.19,NA,NA,0.5,2,2,1.5
Tipulidae_sp.,1632,14,1.453333333,1.483333333,NA,NA,1,1,1,0
Tipulidae_sp.,1860,6.4,0.51,0.62,NA,NA,0.5,0.5,0.5,2
Tipulidae_sp.,2283,13.09,1.33,1.23,NA,NA,3,3,3,3
Tipulidae_sp.,2379,12.63,1.09,1.28,NA,NA,3,2,2,1
Tortricidae_sp.,1860,4.56,1.51,0.91,NA,NA,1,0,1,0
Tortricidae_sp.,2587,4.31,0.98,0.78,NA,NA,1,0,0,0
Triphleba_inaequalis,2379,1.51,NA,0.5,NA,NA,1,1,0,0
Triphleba_luteifemorata,1463,1.28,NA,0.43,NA,NA,0,0,0,0
Triphleba_sp.,1181,1.15,NA,0.36,NA,NA,1,0,1,1
Triphleba_sp.,1632,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA
Udea_alpinalis,1632,8.57,6.66,1.26,NA,NA,NA,NA,NA,NA
Udea_uliginosalis,2283,10.26,6.54,1.37,NA,NA,0,0,0,0
Ulidiidae_sp.,1860,5.27,0.72,1.16,NA,NA,0,1,1,0
Xanthorhoe_montanata,1860,10.99,7.27,1.73,NA,NA,0,0,0,0
Xiphydriidae_sp.,2283,4.88,NA,1.1,NA,NA,1,1,1,0
Xyelidae_sp.,2080,3.25,NA,0.88,NA,NA,1,1,2,1
Xylophagidae_sp.,1860,10.72,1.04,2.44,NA,NA,1,0,1,1
Zygaena_exulans,2283,11.56833333,8.253333333,1.67,NA,NA,1.833333333,1.666666667,1.833333333,2.166666667
Zygaena_exulans,2379,11.42,8.28,1.67,NA,NA,2,1,1,1
Zygaena_purpuralis,1181,13.04,10.7,1.83,NA,NA,1,0,1,0
Acari_sp.,1860,1.02,NA,NA,0.54,NA,0,0,1,0
Andrena_carantonica,2379,12.38,3.22,3.45,NA,NA,3,4,4,3
Anthomyiidae2_sp.,1181,4.276,1.143,1.215,NA,NA,0.4,2,2.2,0.4
Anthomyiidae2_sp.,1463,4.597272727,1.130909091,1.3,NA,NA,0.090909091,2,1.545454545,0.545454545
Anthomyiidae2_sp.,1632,4.409,1.227,1.222,NA,1.3175,0.5,2.1,1.5,0.7
Anthomyiidae2_sp.,1860,4.417241379,0.975517241,1.221034483,NA,1.505,0.451612903,1.9,1.612903226,0.483870968
Anthomyiidae2_sp.,2080,5.505454545,1.282727273,1.478181818,NA,NA,0.272727273,1.545454545,1.272727273,0.636363636
Anthomyiidae2_sp.,2283,4.749090909,1.145454545,1.210909091,NA,1.716666667,0.363636364,1.909090909,1.454545455,0.636363636
Anthomyiidae2_sp.,2379,5.857,1.295,1.501,NA,1.97,0.3,2.3,1.4,0.7
Anthomyiidae2_sp.,2587,4.578,1.4,1.2,0.64,NA,0.4,1.4,1,0.6
Aradidae_sp.,1181,8.92,4.05,2.15,NA,NA,NA,NA,NA,NA
Arctophila_bombiforme,1181,14.33,4.34,4.52,NA,NA,2,3,3,3
Cecidomyiidae2_sp.,1860,1.38,NA,0.28,NA,NA,0,0,0,0
Cecidomyiidae3_sp.,1860,1.1,NA,0.32,NA,NA,0,0,0,0
Chorthippus_sp.,2080,6.73,NA,1.47,NA,NA,0,0,0,0
Chorthippus_montanus,1860,15.07,NA,2.32,NA,NA,1,0,0,1
Crambus_cf_lathoniellus,1181,8.22,4.41,1.21,NA,NA,0,0,0,0
Dasysyrphus_sp.,2283,10.4,1.78,2.87,NA,NA,2,4,3,3
Delia2_sp.,1181,4.21,0.99,1.21,NA,NA,0,0,1,0
Figitidae_sp.,1181,1.92,NA,0.47,NA,NA,0,0,0,0
Figitidae_sp.,1463,1.76,NA,0.4175,NA,NA,1,1.25,1.5,0.25
Figitidae_sp.,1632,2.185,NA,0.5225,NA,NA,0.25,0.25,0.75,0.5
Figitidae_sp.,2283,2.545,NA,0.65,NA,NA,1,2,0.5,0.5
Gelechiidae1_sp.,1463,3.65,2.11,0.71,NA,NA,1,0,0,0
Gelechiidae2_sp.,1463,5.18,3.14,0.83,NA,NA,1,0,0,0
Gelechiidae3_sp.,1181,5.09,2.42,0.82,NA,NA,0,0,0,0
Geometridae__or_Crambidae,2283,9.06,5.52,1.29,NA,NA,0,0,0,0
Muscidae10_sp.,1181,7.98,1.235,2.12,NA,NA,1.5,2.5,2.5,2
Muscidae10_sp.,1632,7.5,1.54,1.9,NA,NA,1,3,3,2
Muscidae10_sp.,1860,7.03,1.79,2.13,NA,NA,1,3,2,2
Muscidae10_sp.,2080,6.58,1.82,2.09,NA,NA,1,3,3,1.5
Muscidae10_sp.,2283,6.633333333,1.725555556,1.886666667,NA,3.0925,1.111111111,2.555555556,2.777777778,1.888888889
Muscidae10_sp.,2379,6.8875,1.69,1.9825,NA,NA,1.75,2.25,2.5,2.25
Muscidae10_sp.,2587,6.691818182,1.568,1.72,NA,1.95,0.818181818,2.363636364,2.090909091,1.181818182
Muscidae11_sp.,1181,7.78,1.77,2.225,NA,NA,1.5,2.5,2,2
Muscidae11_sp.,1463,7.974666667,1.196,2.021333333,NA,7.715,2.25,3.125,2.9375,2.75
Muscidae11_sp.,1632,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA
Muscidae11_sp.,1860,8.180869565,1.156956522,2.100434783,NA,6.073333333,1.391304348,2.869565217,2.695652174,2.086956522
Muscidae11_sp.,2080,7.81875,1.3975,2.0875,NA,11.12,1.333333333,2.666666667,2.111111111,1.555555556
Muscidae11_sp.,2283,9.015,1.7925,2.455,NA,NA,1.75,2.5,3,3
Muscidae11_sp.,2379,7.1,1.73,1.92,NA,NA,2,2.666666667,3,3
Muscidae11_sp.,2587,6.92,0.91,2.13,NA,NA,2,3,3,2
Muscidae2_sp.,1860,#DIV/0!,NA,NA,NA,NA,NA,NA,NA,NA
Muscidae3_sp.,1181,7.834,1.421111111,2.148,NA,8.376666667,1.333333333,2.888888889,2.777777778,2.222222222
Muscidae3_sp.,1632,8.042,1.52,2.115,NA,9.45,1.6,2.7,2.8,2.4
Muscidae3_sp.,1860,8.133076923,1.033333333,1.986410256,NA,9.34,1.457142857,3.057142857,2.8,2.085714286
Muscidae3_sp.,2080,7.21,1.51,1.85,NA,NA,0.5,2,2,1
Muscidae3_sp.,2283,7.571,1.686,1.911,NA,NA,0.9,2.7,2.2,1.8
Muscidae4_sp.,1463,6.67,1.47,2.18,NA,NA,1,3,3,2
Muscidae4_sp.,1860,8.03,1.87,2.13,NA,NA,1.5,3,3,3
Muscidae4_sp.,2080,7.435,1.68,2.06,NA,NA,0.5,2,1.5,2
Muscidae5_sp.,1463,6.631428571,1.387142857,1.595714286,NA,3.715,1.571428571,3,2.857142857,2.428571429
Muscidae5_sp.,1632,7.562,1.994,1.97,NA,NA,1.6,2.8,2.6,1.6
Muscidae5_sp.,1860,7.87,1.5625,2.0925,NA,NA,1.5,3,3,2.5
Muscidae5_sp.,2080,7.547272727,1.968181818,2.065454545,NA,5.535,1.818181818,3.181818182,3,2.818181818
Muscidae5_sp.,2283,7.565,1.8775,1.88125,NA,NA,1.25,3,2.625,2.25
Muscidae5_sp.,2379,7.153333333,1.683333333,1.723333333,NA,NA,1,2.666666667,2.333333333,1.666666667
Muscidae5_sp.,2587,7.235333333,1.512666667,1.846,NA,4.28,0.733333333,2.2,2,1.133333333
Muscidae8_sp.,1181,7.35,1.43,1.91,NA,NA,2,3,3,2
Muscidae9_sp.,1181,4.4,0.958181818,1.320909091,NA,NA,1.090909091,2.545454545,2.363636364,1.363636364
Muscidae9_sp.,1463,5.113333333,0.9525,1.465833333,NA,NA,1.083333333,2.083333333,2.166666667,1.416666667
Muscidae9_sp.,1632,4.43,0.795,1.275,NA,NA,1,2.5,2.5,1.5
Muscidae9_sp.,1860,5.001304348,0.81826087,1.350434783,NA,0.95,0.692307692,2,1.961538462,1.576923077
Muscidae9_sp.,2080,5.120769231,0.865384615,1.354615385,NA,0.75,0.615384615,1.769230769,1.384615385,0.923076923
Muscidae9_sp.,2283,4.44,0.768,1.25,NA,0.755,0.3,1.6,1.5,1.4
Muscidae9_sp.,2379,5.688,1.252,1.528,NA,1.47,0.9,2.3,2,1.5
Muscidae9_sp.,2587,5.874545455,1.369090909,1.525454545,NA,NA,0.833333333,2.083333333,1.75,1.083333333
Nomada_flavoguttata,1181,5.74,1.8,1.59,NA,NA,1,2,2,1
Orygma_luctuosum,2080,2.76,NA,0.81,NA,NA,0,0,1,0
Plebejus_argus,1181,8.46,6.16,1.35,NA,NA,1,0,0,0
Rhingia_sp.,1181,8.33,2.6,2.68,NA,NA,1,2,2,1
Rhingia_sp.,1632,8.79,3.51,2.61,NA,NA,1,2,2,1
Sphaerophoria_shirchan,1632,6.79,1.45,1.855,NA,NA,1.5,2.5,2,2
Themira_leachi,1463,2.35,NA,0.65,NA,NA,2,3,2,2
Themira_leachi,1860,3.82,NA,0.79,NA,NA,1,1,0,0
Themira_leachi,2283,3.58,NA,0.96,NA,NA,1,0,1,1
Themira_leachi,2379,3.71,NA,0.95,NA,NA,1,1,2,1
Vacciniina_optilete,2080,9.13,5.445,1.33,NA,NA,0,0,0,0
