Plant_species	Plot	Elevation	Display_size	Flower_diameter	Floral_depth	Petal_width	Petal_length	Stylus_length	Filament_length	Nectar_depth	Nectar_width	Stylus_position	Filament_position	Plant_height	Flower_inclination	Leaf_inclination	Number_leaves	Number_inflorescense	Number_flowers_per_inflo	Leaf_width	Leaf_length	Leaf_thickness	Leaf_Area	Leaf_weight_fresh	Leaf_weight_dry	Succulence	Specific_leaf_weight	Leaf_lobation
Geum_montanum	Hochmais	1860	29.08	29.08	9.75	13.4	12.37	7.24	7.18	0	0	7.24	7.18	188	140	165	3	2	1	29.74	63.91	0.32	NA	2.495	0.7227	NA	NA	NA
Geum_montanum	Hochmais	1860	33.3	33.3	10.77	16.12	17.49	8.78	6.01	0	0	8.78	6.01	235	135	125	7	1	1	55.57	118.36	0.36	28.459345	6.517	1.8921	1.625090107	0.66484313	3.630281729
Geum_montanum	Hochmais	1860	21.44	21.44	10.85	11.63	16.29	3.64	5.05	0	0	3.64	5.05	170	175	145	4	1	1	44.58	86.55	0.36	24.68400621	4.401	1.3772	1.225003743	0.557932123	2.455338459
Geum_montanum	Hochmais	1860	20.19	20.19	11.31	12.17	12.19	8.72	5.46	0	0	8.72	5.46	122	150	145	4	2	1	35.33	67.22	0.4	NA	2.558	1.2021	NA	NA	NA
Geum_montanum	Hochmais	1860	25.71	25.71	11.32	13.96	11.92	7.65	8.39	0	0	7.65	8.39	157	150	150	3	4	1	34.12	62.76	0.37	NA	2.825	0.8478	NA	NA	NA
Geum_montanum	Hochmais	1860	25.36	25.36	12.01	12.11	13.04	9.04	9.77	0	0	9.04	9.77	88	160	150	2	1	1	32.15	57.6	0.46	NA	2.249	0.7392	NA	NA	NA
Geum_montanum	Hochmais	1860	25.53	25.53	12.13	15.45	14.1	7.73	7.66	0	0	7.73	7.66	198	150	160	4	2	1	31.69	52.76	0.49	NA	2.055	0.6599	NA	NA	NA
Geum_montanum	Hochmais	1860	19.61	19.61	12.65	13.5	11.63	8.94	8.53	0	0	8.94	8.53	128	175	135	2	2	1	41.24	82.57	0.43	NA	4.334	0.7379	NA	NA	NA
Geum_montanum	Hochmais	1860	24.6	24.6	14.79	13.45	15.37	5.47	7.07	0	0	5.47	7.07	270	125	160	4	1	1	53.76	91.45	0.36	18.1445511	5.251	1.3315	2.160152642	0.733829122	4.256146994
Geum_montanum	Nassfeld	2283	18.44	18.44	11.34	10.62	9.5	7.67	8.59	0	0	7.67	8.59	NA	NA	NA	NA	NA	1	34.79	64.6	0.4	11.95110212	2.9416	2.0903	0.712319242	1.749043711	2.953920933
