"","Species","Body_length","Proboscis_length","Head_diameter"
"163","1181.1",7.168333333,1.21049505,2.037777778
"164","1181.1",7.168333333,1.21049505,2.037777778
"165","1181.1",7.168333333,1.21049505,2.037777778
"166","1181.1",7.168333333,1.21049505,2.037777778
"167","1181.1",7.168333333,1.21049505,2.037777778
"168","1181.1",7.168333333,1.21049505,2.037777778
"169","1181.1",7.168333333,1.21049505,2.037777778
"170","1181.1",7.168333333,1.21049505,2.037777778
"171","1181.1",7.168333333,1.21049505,2.037777778
"172","1181.1",7.168333333,1.21049505,2.037777778
"173","1181.1",7.168333333,1.21049505,2.037777778
"174","1181.1",7.168333333,1.21049505,2.037777778
"175","1181.1",7.168333333,1.21049505,2.037777778
"176","1181.1",7.168333333,1.21049505,2.037777778
"177","1181.1",7.168333333,1.21049505,2.037777778
"178","1181.1",7.168333333,1.21049505,2.037777778
"179","1181.1",8.37,1.71,2.68
"180","1181.1",5.038,0.977,1.451
"181","1181.1",5.038,0.977,1.451
"182","1181.1",5.038,0.977,1.451
"183","1181.1",5.038,0.977,1.451
"184","1181.1",5.038,0.977,1.451
"185","1181.1",5.038,0.977,1.451
"186","1181.1",5.038,0.977,1.451
"187","1181.1",5.038,0.977,1.451
"188","1181.1",5.038,0.977,1.451
"189","1181.1",5.038,0.977,1.451
"190","1181.1",5.038,0.977,1.451
"191","1181.1",4.276,1.143,1.215
"192","1181.1",4.276,1.143,1.215
"193","1181.1",4.276,1.143,1.215
"194","1181.1",4.276,1.143,1.215
"195","1181.1",4.276,1.143,1.215
"196","1181.1",4.276,1.143,1.215
"197","1181.1",4.276,1.143,1.215
"198","1181.1",4.276,1.143,1.215
"199","1181.1",4.276,1.143,1.215
"200","1181.1",4.276,1.143,1.215
"201","1181.1",4.276,1.143,1.215
"202","1181.1",7.98,1.235,2.12
"203","1181.1",7.834,1.421111111,2.148
"204","1181.1",7.834,1.421111111,2.148
"205","1181.1",7.834,1.421111111,2.148
"206","1181.1",7.834,1.421111111,2.148
"207","1181.1",7.834,1.421111111,2.148
"208","1181.1",7.834,1.421111111,2.148
"209","1181.1",7.834,1.421111111,2.148
"210","1181.1",7.834,1.421111111,2.148
"211","1181.1",7.834,1.421111111,2.148
"212","1181.1",7.834,1.421111111,2.148
"213","1181.1",7.834,1.421111111,2.148
"214","1181.1",7.834,1.421111111,2.148
"215","1181.1",7.834,1.421111111,2.148
"216","1181.1",7.834,1.421111111,2.148
"217","1181.1",7.834,1.421111111,2.148
"218","1181.1",7.834,1.421111111,2.148
"219","1181.1",7.834,1.421111111,2.148
"220","1181.1",7.834,1.421111111,2.148
"221","1181.1",7.35,1.43,1.91
"222","1181.1",4.4,0.958181818,1.320909091
"223","1181.1",4.4,0.958181818,1.320909091
"224","1181.1",4.4,0.958181818,1.320909091
"225","1181.1",4.4,0.958181818,1.320909091
"226","1181.2",13.955,2.575,3.52
"227","1181.2",15.135,3.97,3.705
"228","1181.2",6.37,1.54,1.95
"229","1181.2",2.89,0.97,0.59
"230","1181.2",11.42333333,2.93,3.056666667
"231","1181.2",11.12111111,4.162222222,3.78
"232","1181.2",11.12111111,4.162222222,3.78
"233","1181.2",11.12111111,4.162222222,3.78
"234","1181.2",11.12111111,4.162222222,3.78
"235","1181.2",11.12111111,4.162222222,3.78
"236","1181.2",11.12111111,4.162222222,3.78
"237","1181.2",11.12111111,4.162222222,3.78
"238","1181.2",11.12111111,4.162222222,3.78
"239","1181.2",11.12111111,4.162222222,3.78
"240","1181.2",11.12111111,4.162222222,3.78
"241","1181.2",11.12111111,4.162222222,3.78
"242","1181.2",11.12111111,4.162222222,3.78
"243","1181.2",11.12111111,4.162222222,3.78
"244","1181.2",11.12111111,4.162222222,3.78
"245","1181.2",11.12111111,4.162222222,3.78
"246","1181.2",11.12111111,4.162222222,3.78
"247","1181.2",11.12111111,4.162222222,3.78
"248","1181.2",11.12111111,4.162222222,3.78
"249","1181.2",11.12111111,4.162222222,3.78
"250","1181.2",11.12111111,4.162222222,3.78
"251","1181.2",11.12111111,4.162222222,3.78
"252","1181.2",11.12111111,4.162222222,3.78
"253","1181.2",11.12111111,4.162222222,3.78
"254","1181.2",11.12111111,4.162222222,3.78
