Elevation,Body_length,Proboscis_length,Head_diameter,Pollen_head,Pollen_thorax,Pollen_legs,Pollen_abdomen,Pollen_max
1181.2,2.1083035715,1.286875,0.7360714285,0.2589285715,0,0.4017857145,0.125,0.4017857145
1181.2,12.37729553375,3.46310482240541,3.702242473,2.01763094264865,2.49335536840541,3.09297706797297,2.50574080581081,3.22811220310811
1181.2,5.57310536233333,1.30826951372222,1.57275984938889,0.8229387125,2.18167989416667,1.91703042333333,1.20057319222222,2.20234788361111
1181.2,2.2919444445,,0.571666666666667,0.222222222166667,0.777777777833333,0.5,0.5,0.9444444445
1181.2,2.18117961770588,0.17875,0.388668605882353,0.248842773117647,0.912704671941176,0.853503359294118,0.791056137941177,1.20852494358824
1181.2,8.1257403508,1.9793052632,2.7276596492,1.4136842106,2.8621052632,2.607017544,2.507368421,2.8936842106
1181.2,1.47875,,0.54375,0,0.125,0.5,0,0.625
1181.2,7.653,1.74666666666667,1.491,1.3666666666,1.75,2.3166666666,1.9833333334,2.3166666666
1181.2,1.3656428572,,0.3191428572,0.0542857142,0.3657142858,0.1628571428,0.0628571428,0.4057142858
1181.2,1.9595333334,,0.5467666666,0.2666666666,0.15,0.2166666666,0.07,0.3366666666
1181.2,10.0712848195,2.4281030575,3.20022649175,2.038228485875,3.094362745,2.935814951,2.59938385075,3.094362745
1181.2,1.824102912625,0.2,0.640632934625,0.297161172125,0.6116097445,0.485816267125,0.19440195225,0.6116097445
1181.2,6.95429487175,,1.59628205125,0.52083333325,0.60416666675,1.60416666675,1.14583333325,1.6875
1181.2,9.04,2.66,1.24,0,0,0,0,0
1181.2,11.321,2.075,3.789,1.2,3,2.9,1.9,3
1181.2,3.53443030025,0.803592894076923,0.9348779105625,0.4415032679375,1.359232026125,1.393607026125,0.649448529375,1.546732026125
1181.2,3.2731666666,0.4995454545,0.929,0.15,0.5,0.9,0.3166666666,0.9
1181.2,12.306944445,,1.91638888883333,1.11666666666667,1.55,1.87777777783333,1.65,2.1
1181.2,4.595958846625,1.273366639375,0.8478826995,0.85673176625,1.55347453675,1.90391081325,1.174171632375,1.90391081325
1181.2,2.36542857142857,0.88,0.844285714285714,0.271428571428571,0.9,1,0.557142857142857,1.21428571428571
1181.2,10.1616155457143,1.40552521014286,2.79350840342857,1.21533613442857,2.70448179271429,2.49229691885714,1.800070028,2.70448179271429
1181.2,12.985483334,3.1452583333,4.5017777778,2.4706432748,3.2653216374,3.0066959064,2.6753216374,3.2816959064
1181.2,10.1331111105,1.44920370366667,3.05414814816667,1.27777777783333,2.962962963,2.58333333333333,1.83333333333333,2.962962963
1181.2,1.925307425,,0.516095603,0.197365440142857,0.415251845428571,0.912994864857143,0.449858407857143,0.912994864857143
1181.2,3.80761011916667,,1.27852497666667,0.285515873,0.688281979444445,0.702194211111111,0.624836601333333,0.980345471555556
1181.2,5.53666666666667,1.56,1.62333333333333,0.5,1,1.5,0.5,1.5
1181.2,9.2375,2.13,2.6095833335,1.4166666665,2.29166666675,3.125,2.125,3.125
1181.2,14.32,13.09,3.48,1,0,0,0,1
1181.2,2.64,0.6,0.715,0.5,0.5,1,1,1
1181.2,4.764945616875,,0.922829004375,0.797132034625,1.204085497875,1.191585498,0.61531385275,1.329085497875
1181.2,7.13579365077778,1.88152777775,1.91367063491667,1.24603174608333,1.85019841275,2.6904761905,1.96428571416667,2.6904761905
1181.2,2.84,,0.88875,0.375,0.5,0.75,0.625,1.125
1181.2,7.2483333335,2.8625,1.3466666665,0.5,1.1666666665,1,0.5,1.1666666665
1181.2,1.58605714284,,0.48695809524,0.13904761904,0.31676190476,0.46780952384,0.1003809524,0.61580952384
1181.2,6.46,2.22,1.82,1,3,3,3,3
1181.2,,,,,,,,
1181.2,2.642222222,0.44,0.566,0.444444444,0.111111111,0,0.111111111,0.444444444
1181.2,5.24686111125,2.40561904775,1.08554166675,0.54285714275,0.81428571425,1.5904761905,1.3285714285,1.6404761905
1181.2,7.91,1.4,2.53,2,3,3,2,3
1181.2,7.20418115933333,1.45728787866667,2.488041063,1.11449275366667,2.388405797,2.57850241533333,1.52294686,2.57850241533333
1181.2,7.82704089028572,1.42185093171429,2.13418115942857,1.74637681157143,2.76112836442857,2.67775189785714,2.34178743971429,2.88017598342857
1181.2,7.7580153846,1.4340888888,2.0020820512,1.158095238,2.6692063492,2.5155555556,1.9015873016,2.6892063492
1181.2,5.008494045875,0.9723022765,1.383780892125,0.814408508,2.1101689975,1.95330710975,1.3454545455,2.12058566425
1181.2,12.04,2.983333333,3.876666667,2.333333333,3.333333333,3,3,3.333333333
1181.2,2.12,,0.64,0,0.75,0.75,0.5,0.75
1181.2,5.74,1.8,1.59,1,2,2,1,2
1181.2,4.08781184275,1.14468934125,1.29747595375,0.437801007125,1.804233618625,1.462692662,0.627200538125,1.8568651975
1181.2,8.43,5.04,1.33,1,0,0,0,1
1181.2,2.59125,,0.70333333325,0,0.33333333325,0.41666666675,0.58333333325,0.91666666675
1181.2,8.913,1.84625,2.604,1,2,2.3125,1.0625,2.3125
1181.2,8.46,6.16,1.35,1,0,0,0,1
1181.2,9.535,2.8625,2.985,1,2,2,1.25,2
1181.2,8.676666667,2.24,2.186666667,0.333333333,1.333333333,2,1,2
1181.2,5.11,2.165,1.115,0.5,0,1,1,1
1181.2,2.922079365,0.5675,0.8500811688,0.3932178932,1.4295815296,1.2944444444,0.4839826842,1.4841269842
