"","Elevation","Display_size","Flower_diameter","Floral_depth","Petal_width","Petal_length","Stylus_length","Filament_length","Nectar_depth","Nectar_width","Stylus_position","Filament_position","Plant_height","Flower_inclination","Number_inflorescense","Number_flowers_per_inflo"
"228","1860.2",16.39,16.39,3.57894736842105,8.00631578947368,7.35184210526316,2.54710526315789,4.14078947368421,0,0,2.54710526315789,4.14078947368421,90.8947368421053,153.947368421053,1.44736842105263,1.21052631578947
"229","1860.2",16.5276119402985,16.5276119402985,8.07283582089552,8.00268656716418,9.69417910447761,3.73731343283582,4.97492537313433,0,0,3.73731343283582,4.97492537313433,341.727272727273,159.787878787879,2.27272727272727,1.08695652173913
"230","1860.2",38.758,14.104,15.165,5.647,16.263,8.098,9.885,10.284,3.941,-2.186,-0.399,447.5,97.5,1,11.8
"231","1860.2",240.705882352941,2.51294117647059,2.93264705882353,1.33588235294118,2.57823529411765,2.16588235294118,2.65470588235294,0,0,2.16588235294118,2.65470588235294,783.588235294118,68.2352941176471,4.76470588235294,34.2941176470588
"232","1860.2",20.6976470588235,1.99676470588235,12.6611764705882,1.77058823529412,12.6611764705882,9.55970588235294,8.22705882352941,4.065,0.456764705882353,5.49470588235294,4.16205882352941,193.470588235294,154.117647058824,1.26470588235294,22.1851851851852
"233","1860.2",20.6490322580645,10.1941935483871,2.78387096774194,5.47032258064516,5.12612903225806,5.71,5.37166666666667,1.56741935483871,1.07064516129032,4.14066666666667,3.81233333333333,174.903225806452,140.967741935484,3.58064516129032,1.64516129032258
"234","1860.3",37.9042857142857,1.22666666666667,2.26904761904762,0.468571428571429,1.70619047619048,1.8947619047619,1.80761904761905,1.37285714285714,0.599047619047619,0.521904761904762,0.434761904761905,301.275862068966,174.655172413793,5.09523809523809,45.5238095238095
"235","1860.3",17.9437209302326,3.56511627906977,1.54093023255814,1.10232558139535,1.28325581395349,1.61,1.55744186046512,1.44744186046512,0.694418604651163,0.162558139534884,0.11,103.829268292683,157.19512195122,8.80487804878049,7.24390243902439
"236","1860.3",30.2155,3.71025,3.64725,1.78175,3.60375,5.491375,2.92025,2.053,2.904,3.438375,0.86725,111.4,64.375,1.05,15.45
"237","1860.3",16.2106451612903,14.4803225806452,18.3738709677419,6.47129032258065,18.7061290322581,16.3046666666667,7.25333333333333,14.2822580645161,8.13466666666667,2.048,-7.00333333333333,158.612903225806,77.5806451612903,1.2258064516129,1
"238","1860.3",17.6788461538462,2.79076923076923,0.7332,1.05730769230769,1.25961538461538,1.19722222222222,1.39588235294118,0,0,1.19722222222222,1.39588235294118,336.125,163.541666666667,6.20833333333333,14.0416666666667
